time_seconds,acc_x,acc_y,acc_z,q_w,q_x,q_y,q_z
4.3062,-5.76,-1.72,-2.91,0.89,0.43,-0.0,-0.16
4.3221,-2.22,-1.71,-3.11,0.89,0.43,0.0,-0.14
4.3431,-3.03,-0.45,-4.44,0.89,0.43,0.0,-0.13
4.3617,-2.02,0.06,-5.35,0.89,0.44,0.01,-0.13
4.3828,-1.32,-0.14,-5.47,0.88,0.45,0.0,-0.12
4.4208,0.82,-3.63,-4.09,0.88,0.46,-0.01,-0.12
4.4351,-0.06,-1.88,-6.66,0.87,0.48,-0.0,-0.12
4.4534,0.1,-0.88,-6.36,0.86,0.49,0.01,-0.13
4.5312,0.89,0.12,-5.27,0.86,0.5,0.01,-0.13
4.5482,1.86,0.88,-5.16,0.83,0.54,0.01,-0.1
4.5633,1.39,-2.07,-2.62,0.83,0.55,0.01,-0.09
4.6208,3.07,-2.74,-4.78,0.82,0.56,0.01,-0.09
4.6327,3.0,0.18,-2.91,0.81,0.58,0.0,-0.07
4.6531,3.76,-1.38,-3.49,0.81,0.58,-0.01,-0.07
4.6809,3.71,-1.4,-3.56,0.81,0.59,-0.02,-0.06
4.7078,3.56,-1.82,-4.33,0.81,0.59,-0.02,-0.06
4.7228,2.86,-1.25,-5.84,0.8,0.59,-0.02,-0.06
4.7428,2.53,-0.63,-7.1,0.8,0.59,-0.02,-0.06
4.7687,2.49,1.0,-7.12,0.8,0.59,-0.01,-0.06
4.7827,2.27,1.14,-6.64,0.8,0.6,-0.02,-0.07
4.8027,2.51,-0.36,-6.62,0.8,0.6,-0.03,-0.07
4.8458,2.6,0.46,-6.59,0.79,0.6,-0.03,-0.08
4.8628,0.12,1.12,-2.66,0.79,0.6,-0.06,-0.09
4.8828,-0.13,-1.21,-1.34,0.79,0.6,-0.07,-0.1
4.9118,2.52,-1.66,0.44,0.78,0.61,-0.08,-0.11
4.933,1.95,-0.06,1.83,0.77,0.62,-0.1,-0.12
4.9527,0.52,0.06,2.1,0.76,0.62,-0.12,-0.13
4.975,2.05,-3.23,2.48,0.75,0.63,-0.13,-0.14
5.0438,2.15,-2.94,2.54,0.74,0.64,-0.14,-0.15
5.0627,1.14,-4.63,2.91,0.7,0.67,-0.18,-0.18
5.0877,4.51,-1.9,2.6,0.69,0.67,-0.19,-0.19
5.1237,4.31,-1.23,2.29,0.68,0.67,-0.21,-0.19
5.1435,0.13,-4.41,2.49,0.67,0.67,-0.24,-0.21
5.1632,-1.41,-2.32,3.7,0.66,0.68,-0.25,-0.21
5.1901,-0.95,-0.8,3.54,0.65,0.68,-0.25,-0.22
5.2028,-0.79,-0.22,4.61,0.65,0.68,-0.26,-0.22
5.2283,-0.85,0.94,5.27,0.64,0.68,-0.27,-0.23
5.2958,-1.85,0.85,6.71,0.64,0.68,-0.28,-0.23
5.3127,0.27,-0.54,3.21,0.64,0.68,-0.28,-0.23
5.3328,0.09,-0.39,2.89,0.64,0.68,-0.27,-0.23
5.3527,-1.89,1.07,2.6,0.65,0.68,-0.27,-0.23
5.3727,-2.04,0.98,1.7,0.65,0.68,-0.26,-0.23
5.3927,-1.09,0.0,1.33,0.65,0.68,-0.26,-0.23
5.4128,-0.03,-1.28,1.64,0.65,0.67,-0.26,-0.23
5.4481,0.05,-2.27,2.4,0.65,0.67,-0.26,-0.23
5.4627,0.16,-0.24,1.35,0.66,0.67,-0.25,-0.23
5.4827,0.3,-0.29,0.77,0.66,0.67,-0.25,-0.23
5.5238,-0.54,-1.17,0.86,0.66,0.66,-0.25,-0.23
5.5427,-0.27,-0.38,0.41,0.67,0.66,-0.25,-0.23
5.5627,0.46,0.52,-0.27,0.67,0.66,-0.24,-0.23
5.5828,0.53,1.27,-0.65,0.68,0.66,-0.24,-0.23
5.6181,0.53,0.83,-0.63,0.68,0.66,-0.24,-0.23
5.6338,0.46,-0.88,-0.54,0.68,0.65,-0.23,-0.23
5.6527,0.11,-0.15,-0.7,0.69,0.65,-0.23,-0.23
5.6739,0.23,0.46,-0.76,0.69,0.65,-0.22,-0.22
5.693,0.43,0.01,-0.7,0.69,0.65,-0.22,-0.22
5.73,0.46,-0.16,-0.64,0.69,0.65,-0.22,-0.22
5.753,-0.07,-0.16,-0.84,0.7,0.65,-0.21,-0.23
5.7958,-0.52,-0.63,-0.54,0.7,0.65,-0.21,-0.23
5.8127,-0.4,-0.16,-0.4,0.7,0.65,-0.21,-0.23
5.8332,0.17,0.19,-0.56,0.7,0.64,-0.21,-0.23
5.9049,0.25,0.2,-0.4,0.7,0.64,-0.21,-0.23
5.9231,0.56,0.16,-0.19,0.7,0.64,-0.21,-0.23
5.9428,0.6,0.33,-0.26,0.7,0.64,-0.21,-0.22
6.0138,0.22,0.35,-0.32,0.7,0.64,-0.21,-0.22
6.0333,-0.02,0.01,-0.1,0.7,0.64,-0.21,-0.22
6.0543,0.07,0.05,-0.09,0.7,0.64,-0.21,-0.22
